owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
172,順揚砂石場,2024-10-22 18:47:13 UTC,172 - 順揚砂石場 - 2024-10-22 18:47:13 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20241022_184713_ae4ZyMMq.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20241022_184713_ae4ZyMMq.wav
172,順揚砂石場,2024-10-29 04:07:58 UTC,172 - 順揚砂石場 - 2024-10-29 04:07:58 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20241029_040758_ZxtkrzG4.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20241029_040758_ZxtkrzG4.wav
172,順揚砂石場,2024-11-29 04:23:24 UTC,172 - 順揚砂石場 - 2024-11-29 04:23:24 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20241129_042324_8bt9x2fg.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20241129_042324_8bt9x2fg.wav
172,順揚砂石場,2024-11-29 18:46:05 UTC,172 - 順揚砂石場 - 2024-11-29 18:46:05 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20241129_184605_cB63hpnH.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20241129_184605_cB63hpnH.wav
172,順揚砂石場,2024-11-30 01:13:29 UTC,172 - 順揚砂石場 - 2024-11-30 01:13:29 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20241130_011329_Z27WuBUR.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20241130_011329_Z27WuBUR.wav
172,順揚砂石場,2025-04-13 18:44:45 UTC,172 - 順揚砂石場 - 2025-04-13 18:44:45 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20250413_184445_6VzYrJu8.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20250413_184445_6VzYrJu8.wav
172,順揚砂石場,2025-04-16 21:07:59 UTC,172 - 順揚砂石場 - 2025-04-16 21:07:59 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20250416_210759_Y5Sy6Wjz.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20250416_210759_Y5Sy6Wjz.wav
172,順揚砂石場,2025-04-16 21:15:03 UTC,172 - 順揚砂石場 - 2025-04-16 21:15:03 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20250416_211503_iPcuFfqi.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20250416_211503_iPcuFfqi.wav
172,順揚砂石場,2025-04-20 22:50:11 UTC,172 - 順揚砂石場 - 2025-04-20 22:50:11 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20250420_225011_cMX4ED57.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20250420_225011_cMX4ED57.wav
172,順揚砂石場,2025-04-23 04:22:41 UTC,172 - 順揚砂石場 - 2025-04-23 04:22:41 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/41_20250423_042241_fzuEeyRz.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/41_20250423_042241_fzuEeyRz.wav
R19,有利砂石場,2024-02-16 03:53:47 UTC,R19 - 有利砂石場 - 2024-02-16 03:53:47 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240216_035347_ecKEaia4.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240216_035347_ecKEaia4.wav
R19,有利砂石場,2024-02-29 18:55:00 UTC,R19 - 有利砂石場 - 2024-02-29 18:55:00 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240229_185500_GViKkNNi.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240229_185500_GViKkNNi.wav
R19,有利砂石場,2024-02-29 19:08:36 UTC,R19 - 有利砂石場 - 2024-02-29 19:08:36 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240229_190836_k5fnYqpj.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240229_190836_k5fnYqpj.wav
R19,有利砂石場,2024-04-30 21:17:11 UTC,R19 - 有利砂石場 - 2024-04-30 21:17:11 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240430_211711_MEswp23E.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240430_211711_MEswp23E.wav
R19,有利砂石場,2024-04-30 21:50:43 UTC,R19 - 有利砂石場 - 2024-04-30 21:50:43 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240430_215043_VhKwwe6k.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240430_215043_VhKwwe6k.wav
R19,有利砂石場,2024-06-06 20:34:19 UTC,R19 - 有利砂石場 - 2024-06-06 20:34:19 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利R19/有利砂石場/6_20240606_203419_BwuYQmnR.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利R19/有利砂石場/6_20240606_203419_BwuYQmnR.wav
